DD_0_0,DD_0_1,DD_1_0,DD_1_1,Dz_0_0_0,Dz_0_0_1,Dz_0_1_0,Dz_0_1_1,Dz_1_0_0,Dz_1_0_1,Dz_1_1_0,Dz_1_1_1,H_0_0,H_0_1,H_1_0,H_1_1,I,pi2_0_0_0_0,pi2_0_0_0_1,pi2_0_0_1_0,pi2_0_0_1_1,pi2_0_1_0_0,pi2_0_1_0_1,pi2_0_1_1_0,pi2_0_1_1_1,pi2_1_0_0_0,pi2_1_0_0_1,pi2_1_0_1_0,pi2_1_0_1_1,pi2_1_1_0_0,pi2_1_1_0_1,pi2_1_1_1_0,pi2_1_1_1_1,mu,r,num_epochs,m_01,m_10,Ne_0,Ne_1,Ne_0_epoch_2,Ne_1_epoch_2,num_gen_epoch_2,type
3.14683848652351e-05,7.4056515781334e-06,7.4056515781334e-06,2.22197531394185e-05,2.53345390777473e-05,1.31814731239655e-05,1.31814731239655e-05,0.000112572263505,1.28386875837211e-05,4.44299012981434e-06,4.44299012981434e-06,1.77758420087537e-05,0.00332774590662714,0.00399202126953746,0.00399202126953746,0.00199800266267306,0.0953101798043249,0.000117169235417093,0.0001360940387862,0.0001360940387862,6.88804076901958e-05,0.0001360940387862,0.000164422281915642,0.000164422281915642,8.44362151623967e-05,0.0001360940387862,0.000164422281915642,0.000164422281915642,8.44362151623967e-05,6.88804076901958e-05,8.44362151623967e-05,8.44362151623967e-05,4.88828052161248e-05,1e-06,0,1,0,1e-04,10000,10000,NA,NA,NA,final
4.29146079169746e-06,1.36307607094982e-06,1.36307607094982e-06,1.34449596161303e-05,7.1436994837098e-06,2.84877359314466e-07,2.84877359314466e-07,1.70897053962317e-06,5.77405229840166e-05,9.81980578549768e-06,9.81980578549768e-06,1.01467185218744e-05,0.000570910499582622,0.00242535444866189,0.00242535444866189,0.00228291416734381,0.0953101798043249,6.29279320035483e-06,1.41578397772393e-05,1.41578397772393e-05,1.31731232339705e-05,1.41578397772393e-05,5.94219344818865e-05,5.94219344818865e-05,5.61259249107561e-05,1.41578397772393e-05,5.94219344818865e-05,5.94219344818865e-05,5.61259249107561e-05,1.31731232339705e-05,5.61259249107561e-05,5.61259249107561e-05,5.43431733830987e-05,1e-06,0,1,1e-04,1e-04,1000,10000,NA,NA,NA,final
5.45123841730931e-05,2.7253838610705e-05,2.7253838610705e-05,5.45123841730931e-05,4.70687622483462e-05,1.52553036371793e-05,1.52553036371793e-05,6.29274300278225e-05,6.29274300278225e-05,1.52553036371793e-05,1.52553036371793e-05,4.70687622483462e-05,0.00399182206633047,0.00498734250604415,0.00498734250604415,0.00399182206633047,0.0953101798043249,0.00017094488808992,0.000204661155476809,0.000204661155476809,0.000163099898488362,0.000204661155476809,0.000254645675037764,0.000254645675037764,0.000204661155476809,0.000204661155476809,0.000254645675037764,0.000254645675037764,0.000204661155476809,0.000163099898488362,0.000204661155476809,0.000204661155476809,0.00017094488808992,1e-06,0,1,1e-04,1e-04,10000,10000,NA,NA,NA,final
7.76736098428124e-07,4.9070318798925e-09,4.9070318798925e-09,5.22985263340836e-07,1.47274891545818e-06,-1.38321704327223e-06,-1.38321704327223e-06,4.14120142524397e-06,4.78760585367568e-07,1.93361298435243e-08,1.93361298435243e-08,4.73748587828358e-07,8.60782251632012e-05,0.00340588039902911,0.00340588039902911,0.000212075510399135,0.0953101798043249,8.21172262756506e-07,2.97954656107315e-06,2.97954656107315e-06,1.84382982980706e-07,2.97954656107315e-06,0.000118559371560023,0.000118559371560023,7.34194404791502e-06,2.97954656107315e-06,0.000118559371560023,0.000118559371560023,7.34194404791502e-06,1.84382982980706e-07,7.34194404791502e-06,7.34194404791502e-06,8.13563669003243e-07,1e-06,0,2,0,1e-04,1000,10000,100,1000,5000,final
6.88414930428883e-06,3.63781693701954e-08,3.63781693701954e-08,5.22985263340836e-07,1.07724519769653e-05,-9.72099575086721e-06,-9.72099575086721e-06,4.08792444323291e-05,4.03419318734323e-07,1.93361298435243e-08,1.93361298435243e-08,4.73748587828358e-07,0.000758313507621645,0.00340588039902911,0.00340588039902911,0.000212075510399135,0.0953101798043249,1.05253346084871e-05,2.62753647996022e-05,2.62753647996022e-05,1.62269268349206e-06,2.62753647996022e-05,0.000118559371560023,0.000118559371560023,7.34194404791502e-06,2.62753647996022e-05,0.000118559371560023,0.000118559371560023,7.34194404791502e-06,1.62269268349206e-06,7.34194404791502e-06,7.34194404791502e-06,8.13563669003243e-07,1e-06,0,2,0,1e-04,10000,10000,1000,1000,5000,final
2.29334873662111e-07,2.1901879847481e-08,2.1901879847481e-08,2.2166305433133e-06,4.28950707991689e-07,-2.89744358052368e-07,-2.89744358052368e-07,7.3108703278794e-07,1.0739042336213e-05,-2.36094621304407e-06,-2.36094621304407e-06,3.02959541075306e-06,5.42493184792115e-05,0.00177242832049837,0.00177242832049837,0.000482310269700275,0.0953101798043249,2.47245069384047e-07,9.67929931608836e-07,9.67929931608836e-07,2.64088865210093e-07,9.67929931608836e-07,3.16416993961091e-05,3.16416993961091e-05,8.70594410313773e-06,9.67929931608836e-07,3.16416993961091e-05,3.16416993961091e-05,8.70594410313773e-06,2.64088865210093e-07,8.70594410313773e-06,8.70594410313773e-06,3.71393710322161e-06,1e-06,0,2,1e-04,1e-04,1000,10000,100,1000,5000,final
7.7367010717253e-06,7.89292088614086e-07,7.89292088614086e-07,7.7367010717253e-06,1.16170525217578e-05,-6.92145704656056e-06,-6.92145704656056e-06,2.73333264413055e-05,2.73333264413055e-05,-6.92145704656056e-06,-6.92145704656056e-06,1.16170525217578e-05,0.000760471368336116,0.0032395200840353,0.0032395200840353,0.000760471368336116,0.0953101798043249,1.12862263102204e-05,2.55028347999951e-05,2.55028347999951e-05,5.93625938034011e-06,2.55028347999951e-05,0.000107166657448542,0.000107166657448542,2.55028347999951e-05,2.55028347999951e-05,0.000107166657448542,0.000107166657448542,2.55028347999951e-05,5.93625938034011e-06,2.55028347999951e-05,2.55028347999951e-05,1.12862263102204e-05,1e-06,0,2,1e-04,1e-04,10000,10000,1000,1000,5000,final
8.95670388864063e-06,1.6184786902834e-06,1.6184786902834e-06,1.97652246666997e-05,1.51113758225824e-05,-7.19510611514381e-06,-7.19510611514381e-06,1.77743720349833e-05,2.33468374604298e-05,3.78018085506507e-06,3.78018085506507e-06,1.55021698406578e-05,0.0008324589099143,0.00399202126953746,0.00399202126953746,0.00199800266267306,0.0953101798043249,1.33527108520813e-05,3.39524436092403e-05,3.39524436092403e-05,1.7249411227983e-05,3.39524436092403e-05,0.000163853975204141,0.000163853975204141,8.3867862992447e-05,3.39524436092403e-05,0.000163853975204141,0.000163853975204141,8.3867862992447e-05,1.7249411227983e-05,8.3867862992447e-05,8.3867862992447e-05,4.77460101411159e-05,1e-06,1e-05,1,0,1e-04,1000,10000,NA,NA,NA,final
2.91553349791564e-05,6.17581892970192e-06,6.17581892970192e-06,1.97652246666997e-05,2.27313816402933e-05,1.080251165274e-05,1.080251165274e-05,0.000102703825781624,1.04097758180979e-05,3.78018085506507e-06,3.78018085506507e-06,1.55021698406578e-05,0.00332774590662714,0.00399202126953746,0.00399202126953746,0.00199800266267306,0.0953101798043249,0.000116498513784687,0.000135738887060367,0.000135738887060367,6.85962572229208e-05,0.000135738887060367,0.000163853975204141,0.000163853975204141,8.3867862992447e-05,0.000135738887060367,0.000163853975204141,0.000163853975204141,8.3867862992447e-05,6.85962572229208e-05,8.3867862992447e-05,8.3867862992447e-05,4.77460101411159e-05,1e-06,1e-05,1,0,1e-04,10000,10000,NA,NA,NA,final
4.19723919162776e-06,1.28114617937478e-06,1.28114617937478e-06,1.27296189781591e-05,7.00292247954878e-06,2.51750068410761e-07,2.51750068410761e-07,1.58334874650336e-06,5.50738734063294e-05,9.08660871663573e-06,9.08660871663573e-06,9.42705756506801e-06,0.000570910499582622,0.00242535444866189,0.00242535444866189,0.00228291416734381,0.0953101798043249,6.23263957707773e-06,1.41496098937088e-05,1.41496098937088e-05,1.31666433194407e-05,1.41496098937088e-05,5.93976259260824e-05,5.93976259260824e-05,5.60855271773518e-05,1.41496098937088e-05,5.93976259260824e-05,5.93976259260824e-05,5.60855271773518e-05,1.31666433194407e-05,5.60855271773518e-05,5.60855271773518e-05,5.41963013538589e-05,1e-06,1e-05,1,1e-04,1e-04,1000,10000,NA,NA,NA,final
