vals,stats,mu,model,order,r,s,demo
867,1.17976e-08,Dr_0_0_l_0,1e-08,5,20,1e-04,0,constant
868,0.00099999,Hl_0_0,1e-08,5,20,1e-04,0,constant
869,0.00099999,Hr_0_0,1e-08,5,20,1e-04,0,constant
870,1.00587e-06,pi2_0_0_0_0,1e-08,5,20,1e-04,0,constant
871,4.42492e-08,DD_0_0,1e-08,5,100,1e-04,0,constant
872,1.17977e-08,Dr_0_0_l_0,1e-08,5,100,1e-04,0,constant
873,0.00099999,Hl_0_0,1e-08,5,100,1e-04,0,constant
874,0.00099999,Hr_0_0,1e-08,5,100,1e-04,0,constant
875,1.00587e-06,pi2_0_0_0_0,1e-08,5,100,1e-04,0,constant
876,4.92759e-09,DD_0_0,1e-08,6,2,0.001,0,constant
877,1.87351e-10,Dr_0_0_l_0,1e-08,6,2,0.001,0,constant
878,0.00099999,Hl_0_0,1e-08,6,2,0.001,0,constant
879,0.00099999,Hr_0_0,1e-08,6,2,0.001,0,constant
880,1.00006e-06,pi2_0_0_0_0,1e-08,6,2,0.001,0,constant
881,4.92759e-09,DD_0_0,1e-08,6,5,0.001,0,constant
882,1.87351e-10,Dr_0_0_l_0,1e-08,6,5,0.001,0,constant
883,0.00099999,Hl_0_0,1e-08,6,5,0.001,0,constant
884,0.00099999,Hr_0_0,1e-08,6,5,0.001,0,constant
885,1.00006e-06,pi2_0_0_0_0,1e-08,6,5,0.001,0,constant
886,4.92759e-09,DD_0_0,1e-08,6,10,0.001,0,constant
887,1.87351e-10,Dr_0_0_l_0,1e-08,6,10,0.001,0,constant
888,0.00099999,Hl_0_0,1e-08,6,10,0.001,0,constant
889,0.00099999,Hr_0_0,1e-08,6,10,0.001,0,constant
890,1.00006e-06,pi2_0_0_0_0,1e-08,6,10,0.001,0,constant
891,4.92759e-09,DD_0_0,1e-08,6,20,0.001,0,constant
892,1.87351e-10,Dr_0_0_l_0,1e-08,6,20,0.001,0,constant
893,0.00099999,Hl_0_0,1e-08,6,20,0.001,0,constant
894,0.00099999,Hr_0_0,1e-08,6,20,0.001,0,constant
895,1.00006e-06,pi2_0_0_0_0,1e-08,6,20,0.001,0,constant
896,4.92774e-09,DD_0_0,1e-08,6,100,0.001,0,constant
897,1.8728e-10,Dr_0_0_l_0,1e-08,6,100,0.001,0,constant
898,0.00099999,Hl_0_0,1e-08,6,100,0.001,0,constant
899,0.00099999,Hr_0_0,1e-08,6,100,0.001,0,constant
900,1.00006e-06,pi2_0_0_0_0,1e-08,6,100,0.001,0,constant
901,5.2971e-07,DD_0_0,1e-08,7,2,1e-08,-0.1,constant
902,4.24277e-07,Dr_0_0_l_0,1e-08,7,2,1e-08,-0.1,constant
903,0.00096666,Hl_0_0,1e-08,7,2,1e-08,-0.1,constant
904,0.000999988,Hr_0_0,1e-08,7,2,1e-08,-0.1,constant
905,1.1782e-06,pi2_0_0_0_0,1e-08,7,2,1e-08,-0.1,constant
906,5.29871e-07,DD_0_0,1e-08,7,5,1e-08,-0.1,constant
907,4.24473e-07,Dr_0_0_l_0,1e-08,7,5,1e-08,-0.1,constant
908,0.00096668,Hl_0_0,1e-08,7,5,1e-08,-0.1,constant
909,0.000999988,Hr_0_0,1e-08,7,5,1e-08,-0.1,constant
910,1.17834e-06,pi2_0_0_0_0,1e-08,7,5,1e-08,-0.1,constant
911,5.29871e-07,DD_0_0,1e-08,7,10,1e-08,-0.1,constant
912,4.24473e-07,Dr_0_0_l_0,1e-08,7,10,1e-08,-0.1,constant
913,0.00096668,Hl_0_0,1e-08,7,10,1e-08,-0.1,constant
914,0.000999988,Hr_0_0,1e-08,7,10,1e-08,-0.1,constant
915,1.17834e-06,pi2_0_0_0_0,1e-08,7,10,1e-08,-0.1,constant
916,5.29871e-07,DD_0_0,1e-08,7,20,1e-08,-0.1,constant
917,4.24473e-07,Dr_0_0_l_0,1e-08,7,20,1e-08,-0.1,constant
918,0.00096668,Hl_0_0,1e-08,7,20,1e-08,-0.1,constant
919,0.000999988,Hr_0_0,1e-08,7,20,1e-08,-0.1,constant
920,1.17834e-06,pi2_0_0_0_0,1e-08,7,20,1e-08,-0.1,constant
921,5.29872e-07,DD_0_0,1e-08,7,100,1e-08,-0.1,constant
922,4.2447e-07,Dr_0_0_l_0,1e-08,7,100,1e-08,-0.1,constant
923,0.00096668,Hl_0_0,1e-08,7,100,1e-08,-0.1,constant
924,0.000999988,Hr_0_0,1e-08,7,100,1e-08,-0.1,constant
925,1.17834e-06,pi2_0_0_0_0,1e-08,7,100,1e-08,-0.1,constant
926,5.2388e-07,DD_0_0,1e-08,8,2,1e-07,-0.1,constant
927,4.18861e-07,Dr_0_0_l_0,1e-08,8,2,1e-07,-0.1,constant
928,0.00096666,Hl_0_0,1e-08,8,2,1e-07,-0.1,constant
929,0.000999988,Hr_0_0,1e-08,8,2,1e-07,-0.1,constant
930,1.17549e-06,pi2_0_0_0_0,1e-08,8,2,1e-07,-0.1,constant
931,5.24038e-07,DD_0_0,1e-08,8,5,1e-07,-0.1,constant
932,4.19052e-07,Dr_0_0_l_0,1e-08,8,5,1e-07,-0.1,constant
933,0.00096668,Hl_0_0,1e-08,8,5,1e-07,-0.1,constant
934,0.000999988,Hr_0_0,1e-08,8,5,1e-07,-0.1,constant
935,1.17563e-06,pi2_0_0_0_0,1e-08,8,5,1e-07,-0.1,constant
936,5.24038e-07,DD_0_0,1e-08,8,10,1e-07,-0.1,constant
937,4.19052e-07,Dr_0_0_l_0,1e-08,8,10,1e-07,-0.1,constant
938,0.00096668,Hl_0_0,1e-08,8,10,1e-07,-0.1,constant
939,0.000999988,Hr_0_0,1e-08,8,10,1e-07,-0.1,constant
940,1.17563e-06,pi2_0_0_0_0,1e-08,8,10,1e-07,-0.1,constant
941,5.24038e-07,DD_0_0,1e-08,8,20,1e-07,-0.1,constant
942,4.19052e-07,Dr_0_0_l_0,1e-08,8,20,1e-07,-0.1,constant
943,0.00096668,Hl_0_0,1e-08,8,20,1e-07,-0.1,constant
944,0.000999988,Hr_0_0,1e-08,8,20,1e-07,-0.1,constant
945,1.17563e-06,pi2_0_0_0_0,1e-08,8,20,1e-07,-0.1,constant
946,5.24037e-07,DD_0_0,1e-08,8,100,1e-07,-0.1,constant
947,4.19052e-07,Dr_0_0_l_0,1e-08,8,100,1e-07,-0.1,constant
948,0.00096668,Hl_0_0,1e-08,8,100,1e-07,-0.1,constant
949,0.000999988,Hr_0_0,1e-08,8,100,1e-07,-0.1,constant
950,1.17563e-06,pi2_0_0_0_0,1e-08,8,100,1e-07,-0.1,constant
951,4.72055e-07,DD_0_0,1e-08,9,2,1e-06,-0.1,constant
952,3.70821e-07,Dr_0_0_l_0,1e-08,9,2,1e-06,-0.1,constant
953,0.00096666,Hl_0_0,1e-08,9,2,1e-06,-0.1,constant
954,0.000999988,Hr_0_0,1e-08,9,2,1e-06,-0.1,constant
955,1.15152e-06,pi2_0_0_0_0,1e-08,9,2,1e-06,-0.1,constant
956,4.72177e-07,DD_0_0,1e-08,9,5,1e-06,-0.1,constant
957,3.70973e-07,Dr_0_0_l_0,1e-08,9,5,1e-06,-0.1,constant
958,0.00096668,Hl_0_0,1e-08,9,5,1e-06,-0.1,constant
959,0.000999988,Hr_0_0,1e-08,9,5,1e-06,-0.1,constant
960,1.15163e-06,pi2_0_0_0_0,1e-08,9,5,1e-06,-0.1,constant
961,4.72177e-07,DD_0_0,1e-08,9,10,1e-06,-0.1,constant
962,3.70973e-07,Dr_0_0_l_0,1e-08,9,10,1e-06,-0.1,constant
963,0.00096668,Hl_0_0,1e-08,9,10,1e-06,-0.1,constant
964,0.000999988,Hr_0_0,1e-08,9,10,1e-06,-0.1,constant
965,1.15163e-06,pi2_0_0_0_0,1e-08,9,10,1e-06,-0.1,constant
966,4.72177e-07,DD_0_0,1e-08,9,20,1e-06,-0.1,constant
967,3.70973e-07,Dr_0_0_l_0,1e-08,9,20,1e-06,-0.1,constant
968,0.00096668,Hl_0_0,1e-08,9,20,1e-06,-0.1,constant
969,0.000999988,Hr_0_0,1e-08,9,20,1e-06,-0.1,constant
970,1.15163e-06,pi2_0_0_0_0,1e-08,9,20,1e-06,-0.1,constant
971,4.72176e-07,DD_0_0,1e-08,9,100,1e-06,-0.1,constant
972,3.70975e-07,Dr_0_0_l_0,1e-08,9,100,1e-06,-0.1,constant
973,0.00096668,Hl_0_0,1e-08,9,100,1e-06,-0.1,constant
974,0.000999988,Hr_0_0,1e-08,9,100,1e-06,-0.1,constant
975,1.15163e-06,pi2_0_0_0_0,1e-08,9,100,1e-06,-0.1,constant
976,2.39605e-07,DD_0_0,1e-08,10,2,1e-05,-0.1,constant
977,1.60214e-07,Dr_0_0_l_0,1e-08,10,2,1e-05,-0.1,constant
978,0.00096666,Hl_0_0,1e-08,10,2,1e-05,-0.1,constant
979,0.000999989,Hr_0_0,1e-08,10,2,1e-05,-0.1,constant
980,1.04644e-06,pi2_0_0_0_0,1e-08,10,2,1e-05,-0.1,constant
981,2.39629e-07,DD_0_0,1e-08,10,5,1e-05,-0.1,constant
982,1.60248e-07,Dr_0_0_l_0,1e-08,10,5,1e-05,-0.1,constant
983,0.00096668,Hl_0_0,1e-08,10,5,1e-05,-0.1,constant
984,0.000999989,Hr_0_0,1e-08,10,5,1e-05,-0.1,constant
985,1.04648e-06,pi2_0_0_0_0,1e-08,10,5,1e-05,-0.1,constant
986,2.39629e-07,DD_0_0,1e-08,10,10,1e-05,-0.1,constant
987,1.60248e-07,Dr_0_0_l_0,1e-08,10,10,1e-05,-0.1,constant
988,0.00096668,Hl_0_0,1e-08,10,10,1e-05,-0.1,constant
989,0.000999989,Hr_0_0,1e-08,10,10,1e-05,-0.1,constant
990,1.04648e-06,pi2_0_0_0_0,1e-08,10,10,1e-05,-0.1,constant
991,2.39629e-07,DD_0_0,1e-08,10,20,1e-05,-0.1,constant
992,1.60248e-07,Dr_0_0_l_0,1e-08,10,20,1e-05,-0.1,constant
993,0.00096668,Hl_0_0,1e-08,10,20,1e-05,-0.1,constant
994,0.000999989,Hr_0_0,1e-08,10,20,1e-05,-0.1,constant
995,1.04648e-06,pi2_0_0_0_0,1e-08,10,20,1e-05,-0.1,constant
996,2.39629e-07,DD_0_0,1e-08,10,100,1e-05,-0.1,constant
997,1.60246e-07,Dr_0_0_l_0,1e-08,10,100,1e-05,-0.1,constant
998,0.00096668,Hl_0_0,1e-08,10,100,1e-05,-0.1,constant
999,0.000999989,Hr_0_0,1e-08,10,100,1e-05,-0.1,constant
1000,1.04648e-06,pi2_0_0_0_0,1e-08,10,100,1e-05,-0.1,constant
1001,4.26676e-08,DD_0_0,1e-08,11,2,1e-04,-0.1,constant
1002,1.14884e-08,Dr_0_0_l_0,1e-08,11,2,1e-04,-0.1,constant
1003,0.00096666,Hl_0_0,1e-08,11,2,1e-04,-0.1,constant
1004,0.00099999,Hr_0_0,1e-08,11,2,1e-04,-0.1,constant
1005,9.72345e-07,pi2_0_0_0_0,1e-08,11,2,1e-04,-0.1,constant
1006,4.26687e-08,DD_0_0,1e-08,11,5,1e-04,-0.1,constant
1007,1.14889e-08,Dr_0_0_l_0,1e-08,11,5,1e-04,-0.1,constant
1008,0.00096668,Hl_0_0,1e-08,11,5,1e-04,-0.1,constant
1009,0.00099999,Hr_0_0,1e-08,11,5,1e-04,-0.1,constant
1010,9.72366e-07,pi2_0_0_0_0,1e-08,11,5,1e-04,-0.1,constant
1011,4.26687e-08,DD_0_0,1e-08,11,10,1e-04,-0.1,constant
1012,1.14889e-08,Dr_0_0_l_0,1e-08,11,10,1e-04,-0.1,constant
